epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1372.39,0.45348,0.62901,0.8944,0.5307,0.35294,0.36799,0.23538,1.87939,2.34152,2.03247,0.000218,0.000218,0.000218
92,1385.28,0.41643,0.62555,0.92523,0.70396,0.29412,0.36966,0.23411,1.91272,2.31714,2.0358,0.0001982,0.0001982,0.0001982
93,1397.85,0.43353,0.6686,0.88762,0.70396,0.29412,0.36966,0.23411,1.91272,2.31714,2.0358,0.0001784,0.0001784,0.0001784
94,1410.37,0.4326,0.62578,0.8557,0.66407,0.29412,0.36402,0.22886,1.9493,2.30386,2.05393,0.0001586,0.0001586,0.0001586
95,1423,0.42693,0.60646,0.84762,0.66563,0.29412,0.36116,0.22692,1.95871,2.3784,2.07757,0.0001388,0.0001388,0.0001388
96,1435.57,0.43532,0.61891,0.88409,0.62628,0.29412,0.36491,0.23855,1.92564,2.42506,2.07657,0.000119,0.000119,0.000119
97,1448.31,0.40559,0.61006,0.90172,0.62628,0.29412,0.36491,0.23855,1.92564,2.42506,2.07657,9.92e-05,9.92e-05,9.92e-05
98,1461.04,0.43372,0.60888,0.88088,0.60868,0.29412,0.36028,0.23713,1.88445,2.3977,2.04745,7.94e-05,7.94e-05,7.94e-05
99,1473.67,0.46032,0.61569,0.89411,0.58757,0.29412,0.36368,0.23344,1.83358,2.35647,2.00185,5.96e-05,5.96e-05,5.96e-05
100,1490.59,0.44613,0.60729,0.85809,0.69831,0.29412,0.36477,0.24142,1.7877,2.31806,1.98218,3.98e-05,3.98e-05,3.98e-05
